
Кем выдан

Код подразделения


 ОТДЕЛЕНИЕ УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В ОКТЯБРЬСКОМ ОКР. Г. АРХАНГЕЛЬСКА
290-001


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В ЛОМОНОСОВСКОМ ОКР. Г. АРХАНГЕЛЬСКА 
290-002


МЕЖРАЙОННОЕ ОТДЕЛЕНИЕ №1 УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В Г. АРХАНГЕЛЬСКЕ 
290-003


МЕЖРАЙОННОЕ ОТДЕЛЕНИЕ №3 УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В Г. АРХАНГЕЛЬСКЕ 
290-004


МЕЖРАЙОННОЕ ОТДЕЛЕНИЕ №2 УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В Г. АРХАНГЕЛЬСКЕ 
290-005


ОТДЕЛ УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В Г. СЕВЕРОДВИНСКЕ 
290-006


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В ВЕЛЬСКОМ Р-НЕ 
290-007


Отдел УФМС России по Архангельской обл. в Вельском р-не 
290-007


ТП УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В ВИЛЕГОДСКОМ Р-НЕ 
290-008


ТП УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В ВИНОГРАДОВСКОМ Р-НЕ 
290-009


МП УФМС России по Архангельской обл. в Верхнетоемском р-не 
290-010


ТП УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В ВЕРХНЕТОЕМСКОМ Р-НЕ 
290-010


ТП УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В КАРГОПОЛЬСКОМ Р-НЕ 
290-011


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В КОНОШСКОМ Р-НЕ 
290-012


ОТДЕЛ УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В Г. КОТЛАСЕ 
290-013


 ОТДЕЛЕНИЕ УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В Г. НОВОДВИНСКЕ
290-014


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В Г. КОРЯЖМЕ 
290-015


 МП УФМС России по Архангельской обл. в Красноборском р-не
290-016


ТП УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В КРАСНОБОРСКОМ Р-НЕ 
290-016


ТП УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В ЛЕНСКОМ Р-НЕ 
290-017


МП УФМС России по Архангельской обл. в Лешуконском р-не 
290-018


 ТП УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В ЛЕШУКОНСКОМ Р-НЕ
290-018


 МП УФМС России по Архангельской обл. в Мезенском р-не
290-019


 ТП УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В МЕЗЕНСКОМ Р-НЕ
290-019


 МП УФМС России по Архангельской обл. в г. Мирный
290-020


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В Г. МИРНЫЙ 
290-020


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В НЯНДОМСКОМ Р-НЕ 
290-021


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В ОНЕЖСКОМ Р-НЕ 
290-022


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В ПИНЕЖСКОМ Р-НЕ 
290-023


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В ПЛЕСЕЦКОМ Р-НЕ 
290-024


МЕЖРАЙОННОЕ ОТДЕЛЕНИЕ №4 УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В Г. АРХАНГЕЛЬСКЕ 
290-025


ТП УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В ХОЛМОГОРСКОМ Р-НЕ 
290-026


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В УСТЬЯНСКОМ Р-НЕ 
290-027


МП УФМС России по Архангельской обл. в Шенкурском р-не 
290-028


ТП УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. В ШЕНКУРСКОМ Р-НЕ 
290-028


 УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛАСТИ
290-030


ОТДЕЛ ПО ВОПРОСАМ ТРУДОВОЙ МИГРАЦИИ, БЕЖЕНЦАМ, ВЫНУЖДЕННЫМ ПЕРЕСЕЛЕНЦАМ, СООТЕЧЕСТВЕННИКАМ 
290-030


ОТДЕЛ ИММИГРАЦИОННОГО КОНТРОЛЯ 
290-030


ОТДЕЛ ПО ВОПРОСАМ ПАСПОРТНОЙ И РЕГИСТРАЦИОННОЙ РАБОТЫ, ГРАЖДАНСТВА И РЕАДМИССИИ 
290-030


ОТДЕЛ ОФОРМЛЕНИЯ ЗАГРАНИЧНЫХ ПАСПОРТОВ 
290-030


 ОТДЕЛ АДРЕСНО-СПРАВОЧНОЙ РАБОТЫ
290-030


ОТДЕЛ ОФОРМЛЕНИЯ ВИЗ, РАЗРЕШЕНИЙ, ПРИГЛАШЕНИЯ И РЕГИСТРАЦИИ ИНОСТРАННЫХ ГРАЖДАН 
290-030


 УВД АРХАНГЕЛЬСКОЙ ОБЛ.
291-001


УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛ. 
291-001


ОВД ОКТЯБРЬСКОГО ОКРУГА Г. АРХАНГЕЛЬСКА 
292-001


ОВД ЛОМОНОСОВСКОГО ОКРУГА Г. АРХАНГЕЛЬСКА 
292-002


 ОВД СОЛОМБАЛЬСКОГО ОКРУГА Г. АРХАНГЕЛЬСКА
292-003


ОВД ИСАКОГОРСКОГО ОКРУГА Г. АРХАНГЕЛЬСКА 
292-004


 ОВД ОКРУГА ВАРАВИНО-ФАКТОРИЯ Г. АРХАНГЕЛЬСКА
292-005


 УВД Г. СЕВЕРОДВИНСКА АРХАНГЕЛЬСКОЙ ОБЛ.
292-006


ОВД ВЕЛЬСКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ. 
292-007


Отделом внутренних дел Вельского района Архангельской области 
292-007


ОВД ВИЛЕГОДСКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ. 
292-008


ОВД ВИНОГРАДОВСКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ. 
292-009


ОВД ВЕРХНЕТОЕМСКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ. 
292-010


ОВД КАРГОПОЛЬСКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ. 
292-011


ОВД КОНОШСКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ. 
292-012


 ОВД Г. КОТЛАСА АРХАНГЕЛЬСКОЙ ОБЛ.
292-013


ОВД КОТЛАССКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ. 
292-014


ОВД Г. КОРЯЖМЫ АРХАНГЕЛЬСКОЙ ОБЛ. 
292-015


ОВД КРАСНОБОРСКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ. 
292-016


 ОВД ЛЕНСКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ.
292-017


 ОВД ЛЕШУКОНСКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ.
292-018


ОВД МЕЗЕНСКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ. 
292-019


МИРНИНСКИЙ ГОВД АРХАНГЕЛЬСКОЙ ОБЛ. 
292-020


 ОВД НЯНДОМСКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ.
292-021


ОВД Г. ОНЕГИ АРХАНГЕЛЬСКОЙ ОБЛ. 
292-022


ОВД ПИНЕЖСКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ. 
292-023


ОВД ПЛЕСЕЦКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ. 
292-024


ОВД ПРИМОРСКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ. 
292-025


ОВД СОЛОВЕЦКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ. 
292-026


 ОВД УСТЬЯНСКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ.
292-027


ОВД ХОЛМОГОРСКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ. 
292-028


ОВД ШЕНКУРСКОГО Р-НА АРХАНГЕЛЬСКОЙ ОБЛ. 
292-029


ОВД Г. НОВОДВИНСК АРХАНГЕЛЬСКОЙ ОБЛ. 
292-030


Кем выдан

Код подразделения


 УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛАСТИ 
300-000


 ОТДЕЛ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В КИРОВСКОМ Р-НЕ Г. АСТРАХАНИ 
300-001


 ОТДЕЛ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В ЛЕНИНСКОМ Р-НЕ Г. АСТРАХАНИ 
300-002


ОТДЕЛ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В СОВЕТСКОМ Р-НЕ Г. АСТРАХАНИ 
300-003


